route,category,reason
POST /advanced/farms/{farm_id}/geo-assets,advanced_backend_api,Endpoint de domínio avançado sem consumidor Flutter obrigatório na V1.
POST /advanced/farms/{farm_id}/geo/import,advanced_backend_api,Endpoint de domínio avançado sem consumidor Flutter obrigatório na V1.
POST /advanced/farms/{farm_id}/pasture,advanced_backend_api,Endpoint de domínio avançado sem consumidor Flutter obrigatório na V1.
POST /advanced/farms/{farm_id}/agriculture,advanced_backend_api,Endpoint de domínio avançado sem consumidor Flutter obrigatório na V1.
PUT /advanced/farms/{farm_id}/genetics,advanced_backend_api,Endpoint de domínio avançado sem consumidor Flutter obrigatório na V1.
GET /advanced/farms/{farm_id}/genetics/{animal_id}/pedigree,advanced_backend_api,Endpoint de domínio avançado sem consumidor Flutter obrigatório na V1.
POST /advanced/farms/{farm_id}/genetics/mating-simulator,advanced_backend_api,Endpoint de domínio avançado sem consumidor Flutter obrigatório na V1.
PATCH /ai/recommendations/{recommendation_id}/review,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
POST /ai-operational/automations/{automation_id}/approve,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
POST /ai-operational/governance/models,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
POST /ai-operational/governance/models/{model_id}/approve,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
GET /analytics/facts,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
POST /analytics/goals/recalculate,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
POST /analytics/benchmarks/{metric_key},platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
GET /analytics/benchmarks,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
PUT /animal-media/{animal_id}/{media_id}/content,advanced_backend_api,Endpoint de domínio avançado sem consumidor Flutter obrigatório na V1.
GET /animal-media/{animal_id}/{media_id}/content,advanced_backend_api,Endpoint de domínio avançado sem consumidor Flutter obrigatório na V1.
POST /atlas-ai/sessions,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
GET /atlas-ai/sessions,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
GET /atlas-ai/sessions/{session_id}/messages,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
POST /atlas-ai/memories,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
GET /atlas-ai/memories,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
PATCH /atlas-ai/recommendations/{recommendation_id}/status,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
POST /atlas-ai/knowledge/documents,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
GET /atlas-ai/knowledge/documents,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
GET /atlas-brain/readiness,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
GET /atlas-vision/readiness,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
GET /auth/sessions,marco5_security,Endpoint de segurança/autenticação a homologar no Marco 5.
DELETE /auth/sessions/{session_id},marco5_security,Endpoint de segurança/autenticação a homologar no Marco 5.
GET /auth/security-events,marco5_security,Endpoint de segurança/autenticação a homologar no Marco 5.
POST /automation/events/execute,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
POST /automation/workflows,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
GET /automation/workflows,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
POST /automation/workflows/{workflow_id}/start,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
POST /automation/executive-digests,platform_api,API de plataforma/IA/automação com consumo externo ou futuro permitido.
POST /backups/{filename}/verify-restore,advanced_backend_api,Endpoint de domínio avançado sem consumidor Flutter obrigatório na V1.
GET /billing/readiness,admin_or_business_api,"API administrativa/comercial, não dependente da UI pecuária principal."
GET /business/commercial/dashboard,admin_or_business_api,"API administrativa/comercial, não dependente da UI pecuária principal."
POST /business/consulting/visits,admin_or_business_api,"API administrativa/comercial, não dependente da UI pecuária principal."
GET /business/consulting/visits,admin_or_business_api,"API administrativa/comercial, não dependente da UI pecuária principal."
POST /business/consulting/actions,admin_or_business_api,"API administrativa/comercial, não dependente da UI pecuária principal."
PATCH /business/consulting/actions/{action_id}/complete,admin_or_business_api,"API administrativa/comercial, não dependente da UI pecuária principal."
GET /business/consulting/dashboard,admin_or_business_api,"API administrativa/comercial, não dependente da UI pecuária principal."
