module,files,screens_widgets,services_engines,models_contracts,local_dependency_count,depends_on,used_by,lines
action_plan,5,1,3,1,4,"core, farm_audit, performance_center, strategy_execution","continuous_improvement, core, dashboard, farm_audit, knowledge_learning, performance_center",1199
analytics,2,1,1,0,1,core,,231
animal,8,3,4,1,60,"animal_document, animal_event, animal_executive_panel, animal_genealogy, animal_health, animal_health_enterprise, animal_intelligence_360, animal_movement, animal_nutrition_enterprise, animal_operations_center, animal_photo, animal_reproduction, animal_reproduction_enterprise, animal_weight, animal_weight_intelligence, animal_zootechnical, atlas_advanced_ai, atlas_auth_sync_enterprise, atlas_automation_operations, atlas_autonomous_enterprise, atlas_backend_foundation, atlas_climate_enterprise, atlas_cloud_security_enterprise, atlas_commercial_enterprise, atlas_commercial_operations, atlas_enterprise_50, atlas_enterprise_operations, atlas_environmental_ai, atlas_executive_intelligence, atlas_executive_platform, atlas_finance_enterprise, atlas_financial_integrations, atlas_geospatial_platform, atlas_global_platform, atlas_governance_operations, atlas_governance_people_enterprise, atlas_intelligence_reports_experience, atlas_iot_platform, atlas_land_intelligence, atlas_livestock_integration, atlas_official_integrations, atlas_operations_enterprise, atlas_platform_resilience, atlas_precision_livestock, atlas_predictive_ai_suite, atlas_quality_release, atlas_reproductive_ai, atlas_reproductive_premium, atlas_rural_business, atlas_saas_platform, atlas_supply_chain, atlas_supply_logistics_enterprise, atlas_sustainability_ecosystem, atlas_sustainability_enterprise, atlas_veterinary_ai, core, enterprise_platform, farm, farm_finance, herd","animal_document, animal_event, animal_executive_panel, animal_health, animal_health_enterprise, animal_intelligence_360, animal_movement, animal_nutrition_enterprise, animal_operations_center, animal_photo, animal_reproduction, animal_reproduction_enterprise, animal_weight, animal_weight_intelligence, animal_zootechnical, atlas_advanced_ai, atlas_auth_sync_enterprise, atlas_automation_operations, atlas_autonomous_enterprise, atlas_backend_foundation, atlas_climate_enterprise, atlas_cloud_security_enterprise, atlas_commercial_enterprise, atlas_commercial_operations, atlas_enterprise_50, atlas_enterprise_operations, atlas_environmental_ai, atlas_executive_intelligence, atlas_executive_platform, atlas_finance_enterprise, atlas_financial_integrations, atlas_geospatial_platform, atlas_global_platform, atlas_governance_operations, atlas_governance_people_enterprise, atlas_intelligence_reports_experience, atlas_iot_platform, atlas_land_intelligence, atlas_livestock_integration, atlas_official_integrations, atlas_operations_enterprise, atlas_platform_resilience, atlas_precision_livestock, atlas_predictive_ai_suite, atlas_quality_release, atlas_reproductive_ai, atlas_reproductive_premium, atlas_rural_business, atlas_saas_platform, atlas_supply_chain, atlas_supply_logistics_enterprise, atlas_sustainability_ecosystem, atlas_sustainability_enterprise, atlas_veterinary_ai, diagnostics, dr_beserra, executive_alerts, farm, farm_handling, herd, indicators, technical_dashboard",8526
animal_document,4,2,1,1,4,"animal, core, farm, herd","animal, animal_event, animal_intelligence_360, animal_operations_center",1919
animal_enterprise_suite,1,1,0,0,0,,"animal_executive_panel, animal_health_enterprise, animal_intelligence_360, animal_nutrition_enterprise, animal_operations_center, animal_reproduction_enterprise, animal_weight_intelligence, atlas_advanced_ai, atlas_auth_sync_enterprise, atlas_automation_operations, atlas_autonomous_enterprise, atlas_backend_foundation, atlas_climate_enterprise, atlas_cloud_security_enterprise, atlas_commercial_enterprise, atlas_commercial_operations, atlas_enterprise_50, atlas_enterprise_operations, atlas_environmental_ai, atlas_executive_intelligence, atlas_executive_platform, atlas_finance_enterprise, atlas_financial_integrations, atlas_geospatial_platform, atlas_global_platform, atlas_governance_operations, atlas_governance_people_enterprise, atlas_intelligence_reports_experience, atlas_iot_platform, atlas_land_intelligence, atlas_livestock_integration, atlas_official_integrations, atlas_operations_enterprise, atlas_platform_resilience, atlas_precision_livestock, atlas_predictive_ai_suite, atlas_quality_release, atlas_reproductive_ai, atlas_reproductive_premium, atlas_rural_business, atlas_saas_platform, atlas_supply_chain, atlas_supply_logistics_enterprise, atlas_sustainability_ecosystem, atlas_sustainability_enterprise, atlas_veterinary_ai",213
animal_event,7,2,2,3,11,"animal, animal_document, animal_health, animal_movement, animal_photo, animal_reproduction, animal_weight, core, enterprise_platform, farm, herd","animal, animal_intelligence_360",1960
animal_executive_panel,1,1,0,0,8,"animal, animal_enterprise_suite, animal_health, animal_nutrition_enterprise, animal_reproduction, animal_weight, farm, herd",animal,370
animal_genealogy,3,1,1,1,2,"core, enterprise_platform",animal,774
animal_health,6,3,2,1,6,"animal, core, farm, farm_handling, farm_inventory, herd","animal, animal_event, animal_executive_panel, animal_health_enterprise, animal_intelligence_360, animal_operations_center, core, dashboard, dr_beserra, executive_alerts, farm, indicators, livestock_operations, technical_dashboard",2636
animal_health_enterprise,1,1,0,0,5,"animal, animal_enterprise_suite, animal_health, farm, herd",animal,270
animal_intelligence_360,3,1,2,0,14,"animal, animal_document, animal_enterprise_suite, animal_event, animal_health, animal_movement, animal_nutrition_enterprise, animal_operations_center, animal_photo, animal_reproduction, animal_weight, core, farm, herd",animal,1314
animal_movement,5,2,2,1,5,"animal, core, enterprise_platform, farm, herd","animal, animal_event, animal_intelligence_360, herd",1054
animal_nutrition_enterprise,3,1,1,1,4,"animal, animal_enterprise_suite, farm, herd","animal, animal_executive_panel, animal_intelligence_360, animal_operations_center",570
animal_operations_center,3,1,1,1,10,"animal, animal_document, animal_enterprise_suite, animal_health, animal_nutrition_enterprise, animal_reproduction, animal_weight, core, farm, herd","animal, animal_intelligence_360",1153
animal_photo,4,2,1,1,4,"animal, core, farm, herd","animal, animal_event, animal_intelligence_360",1238
animal_reproduction,8,3,4,1,5,"animal, core, farm, farm_handling, herd","animal, animal_event, animal_executive_panel, animal_intelligence_360, animal_operations_center, animal_reproduction_enterprise, core, dashboard, dr_beserra, executive_alerts, farm, indicators, livestock_operations, technical_dashboard",2692
animal_reproduction_enterprise,1,1,0,0,5,"animal, animal_enterprise_suite, animal_reproduction, farm, herd",animal,249
animal_weight,6,2,3,1,5,"animal, core, enterprise_platform, farm, herd","animal, animal_event, animal_executive_panel, animal_intelligence_360, animal_operations_center, animal_weight_intelligence, animal_zootechnical, herd, indicators, technical_dashboard",1245
