feature,dono,destino,telas,decisao
action_plan,Gestão,avaliar_e_consolidar,1,Gestão empresarial; não deve gerar item isolado no menu.
analytics,Gestão,consolidar_em_análises,1,Leitura e decisão; deve aparecer pela Central de Análises/Relatórios.
animal,Animal,núcleo_canônico,3,Mantido como superfície oficial.
animal_document,Animal,núcleo_canônico,2,Mantido como superfície oficial.
animal_event,Animal,núcleo_canônico,2,Mantido como superfície oficial.
animal_executive_panel,Animal,absorver_no_animal,1,Recurso individual; não vira módulo da fazenda.
animal_genealogy,Animal,núcleo_canônico,1,Mantido como superfície oficial.
animal_health,Sanidade,núcleo_canônico,3,Mantido como superfície oficial.
animal_health_enterprise,Animal,absorver_no_animal,1,Recurso individual; não vira módulo da fazenda.
animal_intelligence_360,Animal,absorver_no_animal,1,Recurso individual; não vira módulo da fazenda.
animal_movement,Animal,núcleo_canônico,2,Mantido como superfície oficial.
animal_nutrition_enterprise,Animal,absorver_no_animal,1,Recurso individual; não vira módulo da fazenda.
animal_operations_center,Animal,absorver_no_animal,1,Recurso individual; não vira módulo da fazenda.
animal_photo,Animal,núcleo_canônico,2,Mantido como superfície oficial.
animal_reproduction,Reprodução,núcleo_canônico,3,Mantido como superfície oficial.
animal_reproduction_enterprise,Animal,absorver_no_animal,1,Recurso individual; não vira módulo da fazenda.
animal_weight,Animal,núcleo_canônico,2,Mantido como superfície oficial.
animal_weight_intelligence,Animal,absorver_no_animal,1,Recurso individual; não vira módulo da fazenda.
animal_zootechnical,Animal,núcleo_canônico,1,Mantido como superfície oficial.
atlas_advanced,Interno,avaliar_antes_de_expor,1,Sem dono operacional comprovado; permanece fora da navegação comum.
atlas_advanced_ai,Interno,avaliar_antes_de_expor,1,Sem dono operacional comprovado; permanece fora da navegação comum.
atlas_ai,Interno,avaliar_antes_de_expor,2,Sem dono operacional comprovado; permanece fora da navegação comum.
atlas_ai_2,Interno,avaliar_antes_de_expor,2,Sem dono operacional comprovado; permanece fora da navegação comum.
atlas_ai_enterprise,Gestão,avaliar_e_consolidar,1,Gestão empresarial; não deve gerar item isolado no menu.
atlas_auth_sync_enterprise,Interno,ocultar_do_produtor,1,"Ferramenta de plataforma, engenharia ou administração."
atlas_automation_operations,Automação,futuro_integrado,1,Integração/automação depende de contrato operacional ou hardware real.
atlas_autonomous_enterprise,Automação,futuro_integrado,1,Integração/automação depende de contrato operacional ou hardware real.
atlas_backend_foundation,Interno,ocultar_do_produtor,1,"Ferramenta de plataforma, engenharia ou administração."
atlas_bi,Gestão,consolidar_em_análises,5,Leitura e decisão; deve aparecer pela Central de Análises/Relatórios.
atlas_bi_analytics,Gestão,consolidar_em_análises,1,Leitura e decisão; deve aparecer pela Central de Análises/Relatórios.
atlas_business,Gestão,avaliar_e_consolidar,1,Gestão empresarial; não deve gerar item isolado no menu.
atlas_climate_enterprise,Campo,absorver_no_módulo,1,"Território, clima e campo pertencem à Central de Campo."
atlas_cloud_security_enterprise,Interno,ocultar_do_produtor,1,"Ferramenta de plataforma, engenharia ou administração."
atlas_commercial_enterprise,Gestão,avaliar_e_consolidar,1,Gestão empresarial; não deve gerar item isolado no menu.
atlas_commercial_operations,Gestão,avaliar_e_consolidar,1,Gestão empresarial; não deve gerar item isolado no menu.
atlas_copilot,Interno,ocultar_do_produtor,1,"Ferramenta de plataforma, engenharia ou administração."
atlas_enterprise_50,Gestão,avaliar_e_consolidar,1,Gestão empresarial; não deve gerar item isolado no menu.
atlas_enterprise_operations,Gestão,avaliar_e_consolidar,1,Gestão empresarial; não deve gerar item isolado no menu.
atlas_environmental_ai,Campo,absorver_no_módulo,1,"Território, clima e campo pertencem à Central de Campo."
atlas_executive_intelligence,Gestão,consolidar_em_análises,1,Leitura e decisão; deve aparecer pela Central de Análises/Relatórios.
atlas_executive_platform,Gestão,consolidar_em_análises,1,Leitura e decisão; deve aparecer pela Central de Análises/Relatórios.
atlas_finance_enterprise,Financeiro,absorver_no_módulo,1,Decisão de capital e finanças pertence ao Financeiro.
atlas_financial_integrations,Financeiro,absorver_no_módulo,1,Decisão de capital e finanças pertence ao Financeiro.
atlas_geospatial_platform,Campo,absorver_no_módulo,1,"Território, clima e campo pertencem à Central de Campo."
atlas_global_platform,Interno,avaliar_antes_de_expor,1,Sem dono operacional comprovado; permanece fora da navegação comum.
atlas_governance_operations,Gestão,avaliar_e_consolidar,1,Gestão empresarial; não deve gerar item isolado no menu.
atlas_governance_people_enterprise,Gestão,avaliar_e_consolidar,1,Gestão empresarial; não deve gerar item isolado no menu.
atlas_intelligence,Gestão,consolidar_em_análises,1,Leitura e decisão; deve aparecer pela Central de Análises/Relatórios.
atlas_intelligence_center,Gestão,núcleo_canônico,1,Mantido como superfície oficial.
atlas_intelligence_reports_experience,Gestão,consolidar_em_análises,1,Leitura e decisão; deve aparecer pela Central de Análises/Relatórios.
atlas_iot_platform,Automação,futuro_integrado,1,Integração/automação depende de contrato operacional ou hardware real.
atlas_land_intelligence,Campo,absorver_no_módulo,1,"Território, clima e campo pertencem à Central de Campo."
atlas_livestock_integration,Automação,futuro_integrado,1,Integração/automação depende de contrato operacional ou hardware real.
atlas_official_integrations,Automação,futuro_integrado,1,Integração/automação depende de contrato operacional ou hardware real.
atlas_operations_enterprise,Gestão,avaliar_e_consolidar,1,Gestão empresarial; não deve gerar item isolado no menu.
atlas_os,Interno,avaliar_antes_de_expor,1,Sem dono operacional comprovado; permanece fora da navegação comum.
atlas_platform_resilience,Interno,ocultar_do_produtor,1,"Ferramenta de plataforma, engenharia ou administração."
atlas_precision_livestock,Interno,avaliar_antes_de_expor,1,Sem dono operacional comprovado; permanece fora da navegação comum.
atlas_predictive_ai_suite,Gestão,consolidar_em_análises,1,Leitura e decisão; deve aparecer pela Central de Análises/Relatórios.
atlas_quality_release,Interno,ocultar_do_produtor,1,"Ferramenta de plataforma, engenharia ou administração."
atlas_reproductive_ai,Reprodução,absorver_no_módulo,1,Capacidade avançada pertence à Reprodução.
atlas_reproductive_premium,Reprodução,absorver_no_módulo,1,Capacidade avançada pertence à Reprodução.
atlas_rural_business,Gestão,avaliar_e_consolidar,1,Gestão empresarial; não deve gerar item isolado no menu.
atlas_saas_platform,Interno,ocultar_do_produtor,1,"Ferramenta de plataforma, engenharia ou administração."
atlas_scale,Interno,avaliar_antes_de_expor,1,Sem dono operacional comprovado; permanece fora da navegação comum.
atlas_sprints_11_15,Interno,avaliar_antes_de_expor,1,Sem dono operacional comprovado; permanece fora da navegação comum.
atlas_sprints_16_20,Interno,avaliar_antes_de_expor,1,Sem dono operacional comprovado; permanece fora da navegação comum.
atlas_sprints_21_25,Interno,avaliar_antes_de_expor,1,Sem dono operacional comprovado; permanece fora da navegação comum.
atlas_supply_chain,Estoque,absorver_no_módulo,1,Suprimentos e logística pertencem ao Estoque.
atlas_supply_logistics_enterprise,Estoque,absorver_no_módulo,1,Suprimentos e logística pertencem ao Estoque.
atlas_sustainability_ecosystem,Gestão,consolidar_em_análises,1,Leitura e decisão; deve aparecer pela Central de Análises/Relatórios.
atlas_sustainability_enterprise,Gestão,consolidar_em_análises,1,Leitura e decisão; deve aparecer pela Central de Análises/Relatórios.
atlas_veterinary_ai,Sanidade,absorver_no_módulo,1,Capacidade clínica/sanitária pertence à Sanidade.
authentication,Interno,avaliar_antes_de_expor,4,Sem dono operacional comprovado; permanece fora da navegação comum.
automation_strategy,Gestão,consolidar_em_análises,1,Leitura e decisão; deve aparecer pela Central de Análises/Relatórios.
autonomous_consultant,Consultoria,absorver_no_módulo,1,Capacidade de atendimento/consultoria.
benefits_realization,Gestão,avaliar_e_consolidar,1,Gestão empresarial; não deve gerar item isolado no menu.
command_center,Gestão,avaliar_e_consolidar,1,Gestão empresarial; não deve gerar item isolado no menu.
