module,files,screens_widgets,services_engines,models_contracts,local_dependency_count,depends_on,used_by,lines
action_plan,5,1,3,1,4,"core, farm_audit, performance_center, strategy_execution","continuous_improvement, core, dashboard, farm_audit, knowledge_learning, performance_center",749
animal,6,3,2,1,9,"animal_document, animal_event, animal_health, animal_movement, animal_reproduction, animal_weight, farm, farm_finance, herd","animal_document, animal_event, animal_health, animal_movement, animal_reproduction, animal_weight, diagnostics, executive_alerts, farm, herd, indicators, technical_dashboard",2664
animal_document,4,2,1,1,3,"animal, farm, herd","animal, animal_event",1097
animal_event,4,2,1,1,8,"animal, animal_document, animal_health, animal_movement, animal_reproduction, animal_weight, farm, herd",animal,1393
animal_health,7,3,3,1,5,"animal, core, farm, farm_inventory, herd","animal, animal_event, dashboard, executive_alerts, indicators, technical_dashboard",2041
animal_movement,4,2,1,1,3,"animal, farm, herd","animal, animal_event",1159
animal_reproduction,6,3,2,1,4,"animal, core, farm, herd","animal, animal_event, dashboard, executive_alerts, indicators, technical_dashboard",2099
animal_weight,5,2,2,1,4,"animal, core, farm, herd","animal, animal_event, indicators, technical_dashboard",1018
app,3,1,0,0,3,"authentication, core, unified_workflow",,82
atlas_ai,15,2,8,5,3,"diagnostics, farm, predictive","dashboard, executive_alerts, executive_kpis, farm",8606
atlas_bi,14,5,5,4,11,"atlas_bi_analytics, decision_engine, decision_engine_v2, executive_ai_advisor, executive_goals, executive_intelligence, executive_kpis, mission_control, predictive_analytics, strategy_center, workflow_engine","atlas_bi_analytics, atlas_copilot, dashboard, decision_engine, decision_engine_v2, decision_tracking, executive_ai_advisor, executive_intelligence, mission_control, predictive_analytics, workflow_engine",7350
atlas_bi_analytics,3,1,1,1,1,atlas_bi,"atlas_bi, atlas_copilot, dashboard, decision_engine, executive_ai_advisor, executive_intelligence",1671
atlas_copilot,3,1,1,1,2,"atlas_bi, atlas_bi_analytics",,1849
atlas_intelligence,3,1,1,1,1,atlas_os,"dashboard, executive_core",2116
atlas_os,3,1,1,1,3,"core, executive_brain, mission_control","atlas_intelligence, dashboard, executive_core",1510
authentication,2,2,0,0,1,dashboard,app,180
autonomous_consultant,3,1,1,1,4,"digital_twin, farm_audit, optimization_engine, recommendation_intelligence","dashboard, farm_audit, optimization_engine",1524
benefits_realization,4,1,2,1,4,"decision_intelligence_lab, farm_audit, strategy_execution, value_governance","dashboard, performance_center, portfolio_management, strategy_execution, value_governance",1291
command_center,4,1,2,1,0,,dashboard,953
consultancy_hub,4,1,2,1,0,,dashboard,608
consultancy_workflow,4,1,2,1,0,,dashboard,619
continuous_improvement,4,1,2,1,4,"action_plan, farm_audit, knowledge_learning, performance_center","dashboard, knowledge_learning, performance_center",1236
copilot,18,8,5,5,4,"core, dashboard, executive_brain, farm","dashboard, farm",5701
core,51,9,8,2,3,"action_plan, digital_twin, executive_alerts","action_plan, animal_health, animal_reproduction, animal_weight, app, atlas_os, copilot, dashboard, decision_engine_v2, digital_twin, executive_alerts, executive_brain, farm_finance, farm_inventory, mission_control, unified_workflow, workflow_engine",7469
dashboard,23,7,13,3,67,"action_plan, animal_health, animal_reproduction, atlas_ai, atlas_bi, atlas_bi_analytics, atlas_intelligence, atlas_os, autonomous_consultant, benefits_realization, command_center, consultancy_hub, consultancy_workflow, continuous_improvement, copilot, core, data_governance, decision_engine, decision_engine_v2, decision_intelligence_lab, diagnostics, digital_twin, enterprise_platform, executive_ai_advisor, executive_alerts, executive_brain, executive_core, executive_goals, executive_intelligence, executive_kpis, farm, farm_agenda, farm_audit, farm_finance, farm_inventory, farm_operations, herd, indicators, integration_hub, investment_capital_allocation, knowledge_learning, mission_control, nutrition, observability, offline_field, optimization_engine, performance_center, performance_intelligence, portfolio_management, predictive_ai, predictive_analytics, quality_center, recommendation_intelligence, reporting, reports, scenario_simulator, strategic_alignment, strategic_capacity, strategic_execution_engine, strategic_scenario_planning, strategy_center, strategy_execution, sync_platform, technical_dashboard, unified_workflow, value_governance, workflow_engine","authentication, copilot, diagnostics",30777
data_governance,4,1,2,1,0,,dashboard,543
decision_engine,3,1,2,0,4,"atlas_bi, atlas_bi_analytics, executive_ai_advisor, executive_intelligence","atlas_bi, dashboard, decision_engine_v2, decision_tracking",2049
decision_engine_v2,4,1,3,0,5,"atlas_bi, core, decision_engine, predictive_analytics, workflow_engine","atlas_bi, dashboard, mission_control",2224
decision_intelligence_lab,3,1,1,1,4,"farm_audit, knowledge_learning, recommendation_intelligence, strategy_execution","benefits_realization, dashboard, recommendation_intelligence, strategy_execution",1494
decision_tracking,3,1,1,1,2,"atlas_bi, decision_engine",workflow_engine,1444
diagnostics,7,2,3,2,8,"animal, dashboard, farm, farm_agenda, farm_finance, farm_inventory, herd, paddock","atlas_ai, dashboard, executive_alerts, farm, predictive",4512
digital_twin,7,1,3,2,1,core,"autonomous_consultant, core, dashboard, farm_audit, optimization_engine, scenario_simulator",1753
enterprise_platform,4,1,2,1,0,,dashboard,1206
executive_ai_advisor,3,1,1,1,3,"atlas_bi, atlas_bi_analytics, executive_intelligence","atlas_bi, dashboard, decision_engine",1995
executive_alerts,8,1,5,2,12,"animal, animal_health, animal_reproduction, atlas_ai, core, diagnostics, farm, farm_agenda, farm_finance, farm_inventory, herd, paddock","core, dashboard, executive_kpis",3779
executive_brain,10,3,4,2,2,"core, executive_core","atlas_os, copilot, dashboard, mission_control",5247
executive_core,3,1,1,1,2,"atlas_intelligence, atlas_os","dashboard, executive_brain",2386
executive_goals,8,2,4,2,1,executive_kpis,"atlas_bi, dashboard, executive_kpis, strategy_center",3344
executive_intelligence,3,1,1,1,2,"atlas_bi, atlas_bi_analytics","atlas_bi, dashboard, decision_engine, executive_ai_advisor",1885
executive_kpis,8,2,4,2,3,"atlas_ai, executive_alerts, executive_goals","atlas_bi, dashboard, executive_goals, strategy_center",4813
farm,7,4,2,1,10,"animal, atlas_ai, copilot, diagnostics, farm_agenda, farm_finance, farm_inventory, herd, paddock, predictive","animal, animal_document, animal_event, animal_health, animal_movement, animal_reproduction, animal_weight, atlas_ai, copilot, dashboard, diagnostics, executive_alerts, farm_agenda, farm_finance, farm_inventory, herd, indicators, nutrition, paddock, predictive, reports, technical_dashboard",6496
farm_agenda,4,2,1,1,1,farm,"dashboard, diagnostics, executive_alerts, farm, reports",1726
farm_audit,4,1,2,1,3,"action_plan, autonomous_consultant, digital_twin","action_plan, autonomous_consultant, benefits_realization, continuous_improvement, dashboard, decision_intelligence_lab, knowledge_learning, performance_center, recommendation_intelligence, strategic_alignment, strategy_execution",2042
farm_finance,6,3,2,1,2,"core, farm","animal, dashboard, diagnostics, executive_alerts, farm, farm_inventory, reports, technical_dashboard",2022
farm_inventory,6,3,2,1,3,"core, farm, farm_finance","animal_health, dashboard, diagnostics, executive_alerts, farm, nutrition, reports, technical_dashboard",3117
farm_operations,4,1,2,1,0,,dashboard,1013
herd,5,3,1,1,2,"animal, farm","animal, animal_document, animal_event, animal_health, animal_movement, animal_reproduction, animal_weight, dashboard, diagnostics, executive_alerts, farm, indicators, technical_dashboard",1834
indicators,1,1,0,0,6,"animal, animal_health, animal_reproduction, animal_weight, farm, herd",dashboard,1005
integration_hub,3,1,1,1,0,,dashboard,109
investment_capital_allocation,7,1,2,4,1,strategic_execution_engine,"dashboard, strategic_scenario_planning",1214
knowledge_learning,4,1,2,1,4,"action_plan, continuous_improvement, farm_audit, recommendation_intelligence","continuous_improvement, dashboard, decision_intelligence_lab, predictive_ai, recommendation_intelligence",1164
mission_control,3,1,1,1,6,"atlas_bi, core, decision_engine_v2, executive_brain, predictive_analytics, workflow_engine","atlas_bi, atlas_os, dashboard",1799
nutrition,4,1,2,1,2,"farm, farm_inventory","dashboard, technical_dashboard",820
observability,4,1,2,1,0,,dashboard,688
offline_field,5,1,2,2,0,,dashboard,925
optimization_engine,5,2,1,2,3,"autonomous_consultant, digital_twin, scenario_simulator","autonomous_consultant, dashboard, scenario_simulator",1863
paddock,4,2,1,1,1,farm,"diagnostics, executive_alerts, farm",734
performance_center,3,1,1,1,4,"action_plan, benefits_realization, continuous_improvement, farm_audit","action_plan, continuous_improvement, dashboard",790
performance_intelligence,5,1,2,2,1,predictive_ai,"dashboard, strategic_execution_engine",580
portfolio_management,3,1,1,1,4,"benefits_realization, strategic_capacity, strategy_execution, value_governance","dashboard, value_governance",802
predictive,4,1,2,1,2,"diagnostics, farm","atlas_ai, farm",3588
predictive_ai,4,1,2,1,1,knowledge_learning,"dashboard, performance_intelligence",392
predictive_analytics,3,1,1,1,1,atlas_bi,"atlas_bi, dashboard, decision_engine_v2, mission_control",2254
quality_center,4,1,2,1,0,,dashboard,603
recommendation_intelligence,3,1,1,1,3,"decision_intelligence_lab, farm_audit, knowledge_learning","autonomous_consultant, dashboard, decision_intelligence_lab, knowledge_learning",1131
reporting,4,1,2,1,0,,dashboard,955
reports,17,9,6,2,4,"farm, farm_agenda, farm_finance, farm_inventory",dashboard,15691
scenario_simulator,7,2,2,2,2,"digital_twin, optimization_engine","dashboard, optimization_engine",2335
strategic_alignment,3,1,1,1,3,"farm_audit, strategic_scenario_planning, strategy_execution","dashboard, strategic_capacity",1058
strategic_capacity,3,1,1,1,2,"strategic_alignment, strategy_execution","dashboard, portfolio_management",1100
strategic_execution_engine,5,1,2,2,1,performance_intelligence,"dashboard, investment_capital_allocation",475
strategic_scenario_planning,5,1,2,2,1,investment_capital_allocation,"dashboard, strategic_alignment",1848
strategy_center,4,1,2,1,2,"executive_goals, executive_kpis","atlas_bi, dashboard",1255
strategy_execution,4,1,2,1,3,"benefits_realization, decision_intelligence_lab, farm_audit","action_plan, benefits_realization, dashboard, decision_intelligence_lab, portfolio_management, strategic_alignment, strategic_capacity",1560
sync_platform,4,1,2,1,0,,dashboard,647
technical_dashboard,13,1,1,11,9,"animal, animal_health, animal_reproduction, animal_weight, farm, farm_finance, farm_inventory, herd, nutrition",dashboard,4365
unified_workflow,4,1,1,2,1,core,"app, dashboard",994
value_governance,4,1,2,1,2,"benefits_realization, portfolio_management","benefits_realization, dashboard, portfolio_management",797
