module,classification,recommendation,files,lines,screens_widgets,services_engines,models_contracts,local_dependency_count,depends_on,used_by,likely_orphans,duplicate_declaration_involvement
atlas_advanced,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,3,241,1,1,1,1,core,,1,0
atlas_advanced_ai,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1355,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_ai,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,15,6995,2,8,5,4,"core, diagnostics, farm, predictive","dashboard, executive_alerts, executive_kpis, farm",0,0
atlas_ai_2,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,3,481,2,1,0,1,core,,2,0
atlas_ai_enterprise,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,2,359,1,1,0,1,core,,1,0
atlas_auth_sync_enterprise,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1122,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_automation_operations,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1078,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_autonomous_enterprise,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,1213,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_backend_foundation,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,4,892,1,2,1,5,"animal, animal_enterprise_suite, core, farm, herd",animal,0,0
atlas_bi,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,14,6392,5,5,4,11,"atlas_bi_analytics, decision_engine, decision_engine_v2, executive_ai_advisor, executive_goals, executive_intelligence, executive_kpis, mission_control, predictive_analytics, strategy_center, workflow_engine","atlas_bi_analytics, atlas_copilot, dashboard, decision_engine, decision_engine_v2, decision_tracking, executive_ai_advisor, executive_intelligence, mission_control, predictive_analytics, workflow_engine",0,0
atlas_bi_analytics,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,3,1332,1,1,1,1,atlas_bi,"atlas_bi, atlas_copilot, dashboard, decision_engine, executive_ai_advisor, executive_intelligence",0,0
atlas_business,ADVANCED_CAPABILITY,REVIEW_OWNERSHIP_AND_CANONICAL_SOURCE,3,413,1,1,1,1,core,,1,0
